#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        99   -1.7253840239e+01    2.9790600301e+02   -3.0852023641e+01    1.3598183403e+01   -5.6768461860e+01    1.8896925398e+00    1.7045982432e+01    6.9807632464e+00    2.6940000000e+04    2.8109261583e-01    9.9763337488e-01
       100   -1.7248613683e+01    2.9773458296e+02   -3.0702414902e+01    1.3453801219e+01   -5.6689569534e+01    1.9547924284e+00    1.7051598957e+01    6.9807632464e+00    2.6977000000e+04    2.8004494283e-01    9.9747942464e-01
       101   -1.7260140916e+01    2.9814260084e+02   -3.0690405167e+01    1.3430264251e+01   -5.6703995374e+01    1.9863966827e+00    1.7046430278e+01    6.9807632464e+00    2.6961000000e+04    2.8006627800e-01    9.9724215583e-01
       102   -1.7259082590e+01    2.9811039387e+02   -3.0807858717e+01    1.3548776127e+01   -5.6845531309e+01    2.0148561448e+00    1.7042053200e+01    6.9807632464e+00    2.6914000000e+04    2.7884917033e-01    9.9741292599e-01
       103   -1.7257058438e+01    2.9805099015e+02   -3.0844018394e+01    1.3586959956e+01   -5.6704077069e+01    1.8552590505e+00    1.7024036378e+01    6.9807632464e+00    2.6898000000e+04    2.7791850100e-01    9.9739303456e-01
       104   -1.7265813641e+01    2.9833699628e+02   -3.0750809005e+01    1.3484995364e+01   -5.6598074936e+01    1.8460358719e+00    1.7020466814e+01    6.9807632464e+00    2.6860000000e+04    2.7733476217e-01    9.9750114150e-01
       105   -1.7264056317e+01    2.9828618527e+02   -3.0834904867e+01    1.3570848550e+01   -5.6631240639e+01    1.7974777379e+00    1.7018094788e+01    6.9807632464e+00    2.6885000000e+04    2.7672637817e-01    9.9738263124e-01
       106   -1.7254750214e+01    2.9795688422e+02   -3.0828060883e+01    1.3573310669e+01   -5.6791217568e+01    1.9355054639e+00    1.7046887975e+01    6.9807632464e+00    2.6819000000e+04    2.7808877183e-01    9.9732512764e-01
       107   -1.7252047028e+01    2.9786838487e+02   -3.0896523995e+01    1.3644476967e+01   -5.6781904859e+01    1.8798225503e+00    1.7024795067e+01    6.9807632464e+00    2.6779000000e+04    2.7663373317e-01    9.9739562975e-01
       108   -1.7251152024e+01    2.9783664053e+02   -3.0917970848e+01    1.3666818824e+01   -5.6884691939e+01    1.9546749062e+00    1.7031282938e+01    6.9807632464e+00    2.6772000000e+04    2.7665058433e-01    9.9747859586e-01
       109   -1.7269007707e+01    2.9846882543e+02   -3.0901451143e+01    1.3632443435e+01   -5.6771701876e+01    1.8582793276e+00    1.7031208159e+01    6.9807632464e+00    2.6756000000e+04    2.7813965167e-01    9.9727253005e-01
       110   -1.7266859021e+01    2.9836504884e+02   -3.0797683145e+01    1.3530824124e+01   -5.6735587834e+01    1.9184005063e+00    1.7038740937e+01    6.9807632464e+00    2.6730000000e+04    2.7777558900e-01    9.9734816393e-01
       111   -1.7258859099e+01    2.9808081613e+02   -3.0778201031e+01    1.3519341933e+01   -5.6590889235e+01    1.8196242476e+00    1.7012300710e+01    6.9807632464e+00    2.6755000000e+04    2.7826177017e-01    9.9759819766e-01
       112   -1.7260211108e+01    2.9816413213e+02   -3.0836536842e+01    1.3576325734e+01   -5.6696771773e+01    1.8673045962e+00    1.7012167089e+01    6.9807632464e+00    2.6745000000e+04    2.7493155700e-01    9.9731816777e-01
       113   -1.7265899981e+01    2.9840158460e+02   -3.0979628538e+01    1.3713728557e+01   -5.6796424929e+01    1.8109499772e+00    1.7025083167e+01    6.9807632464e+00    2.6679000000e+04    2.7654232217e-01    9.9739993267e-01
       114   -1.7261257357e+01    2.9819307892e+02   -3.0903089596e+01    1.3641832238e+01   -5.6841602275e+01    1.9244060387e+00    1.7033343395e+01    6.9807632464e+00    2.6679000000e+04    2.7861551850e-01    9.9744673722e-01
